2023-05-03 09:17:39 status half-installed make:amd64 4.3-4.1
2023-05-03 09:17:39 status unpacked make:amd64 4.3-4.1
2023-05-03 09:17:39 install dpkg-dev:all <none> 1.20.12
2023-05-03 09:17:39 status half-installed dpkg-dev:all 1.20.12
2023-05-03 09:17:40 status unpacked dpkg-dev:all 1.20.12
2023-05-03 09:17:40 install fonts-dejavu-core:all <none> 2.37-2
2023-05-03 09:17:40 status half-installed fonts-dejavu-core:all 2.37-2
2023-05-03 09:17:40 status unpacked fonts-dejavu-core:all 2.37-2
2023-05-03 09:17:40 install fontconfig-config:all <none> 2.13.1-4.2
2023-05-03 09:17:40 status half-installed fontconfig-config:all 2.13.1-4.2
2023-05-03 09:17:40 status unpacked fontconfig-config:all 2.13.1-4.2
2023-05-03 09:17:40 install libcc1-0:amd64 <none> 10.2.1-6
2023-05-03 09:17:40 status half-installed libcc1-0:amd64 10.2.1-6
2023-05-03 09:17:40 status unpacked libcc1-0:amd64 10.2.1-6
2023-05-03 09:17:40 install libgomp1:amd64 <none> 10.2.1-6
2023-05-03 09:17:40 status half-installed libgomp1:amd64 10.2.1-6
2023-05-03 09:17:40 status unpacked libgomp1:amd64 10.2.1-6
2023-05-03 09:17:40 install libitm1:amd64 <none> 10.2.1-6
2023-05-03 09:17:40 status half-installed libitm1:amd64 10.2.1-6
2023-05-03 09:17:40 status unpacked libitm1:amd64 10.2.1-6
2023-05-03 09:17:40 install libatomic1:amd64 <none> 10.2.1-6
2023-05-03 09:17:40 status half-installed libatomic1:amd64 10.2.1-6
2023-05-03 09:17:40 status unpacked libatomic1:amd64 10.2.1-6
2023-05-03 09:17:40 install libasan6:amd64 <none> 10.2.1-6
2023-05-03 09:17:40 status half-installed libasan6:amd64 10.2.1-6
2023-05-03 09:17:40 status unpacked libasan6:amd64 10.2.1-6
2023-05-03 09:17:40 install liblsan0:amd64 <none> 10.2.1-6
2023-05-03 09:17:40 status half-installed liblsan0:amd64 10.2.1-6
2023-05-03 09:17:40 status unpacked liblsan0:amd64 10.2.1-6
2023-05-03 09:17:40 install libtsan0:amd64 <none> 10.2.1-6
2023-05-03 09:17:40 status half-installed libtsan0:amd64 10.2.1-6
2023-05-03 09:17:41 status unpacked libtsan0:amd64 10.2.1-6
2023-05-03 09:17:41 install libubsan1:amd64 <none> 10.2.1-6
2023-05-03 09:17:41 status half-installed libubsan1:amd64 10.2.1-6
2023-05-03 09:17:41 status unpacked libubsan1:amd64 10.2.1-6
2023-05-03 09:17:41 install libquadmath0:amd64 <none> 10.2.1-6
2023-05-03 09:17:41 status half-installed libquadmath0:amd64 10.2.1-6
2023-05-03 09:17:41 status unpacked libquadmath0:amd64 10.2.1-6
2023-05-03 09:17:41 install libgcc-10-dev:amd64 <none> 10.2.1-6
2023-05-03 09:17:41 status half-installed libgcc-10-dev:amd64 10.2.1-6
2023-05-03 09:17:41 status unpacked libgcc-10-dev:amd64 10.2.1-6
2023-05-03 09:17:41 install gcc-10:amd64 <none> 10.2.1-6
2023-05-03 09:17:41 status half-installed gcc-10:amd64 10.2.1-6
2023-05-03 09:17:42 status unpacked gcc-10:amd64 10.2.1-6
2023-05-03 09:17:42 install gcc:amd64 <none> 4:10.2.1-1
2023-05-03 09:17:42 status half-installed gcc:amd64 4:10.2.1-1
2023-05-03 09:17:42 status unpacked gcc:amd64 4:10.2.1-1
2023-05-03 09:17:42 install gnupg-l10n:all <none> 2.2.27-2+deb11u2
2023-05-03 09:17:42 status half-installed gnupg-l10n:all 2.2.27-2+deb11u2
2023-05-03 09:17:42 status unpacked gnupg-l10n:all 2.2.27-2+deb11u2
2023-05-03 09:17:42 install gnupg-utils:amd64 <none> 2.2.27-2+deb11u2
2023-05-03 09:17:42 status half-installed gnupg-utils:amd64 2.2.27-2+deb11u2
2023-05-03 09:17:42 status unpacked gnupg-utils:amd64 2.2.27-2+deb11u2
2023-05-03 09:17:42 install libsqlite3-0:amd64 <none> 3.34.1-3
2023-05-03 09:17:42 status half-installed libsqlite3-0:amd64 3.34.1-3
2023-05-03 09:17:43 status unpacked libsqlite3-0:amd64 3.34.1-3
2023-05-03 09:17:43 install gpg:amd64 <none> 2.2.27-2+deb11u2
2023-05-03 09:17:43 status half-installed gpg:amd64 2.2.27-2+deb11u2
2023-05-03 09:17:43 status unpacked gpg:amd64 2.2.27-2+deb11u2
2023-05-03 09:17:43 install libncursesw6:amd64 <none> 6.2+20201114-2+deb11u1
2023-05-03 09:17:43 status half-installed libncursesw6:amd64 6.2+20201114-2+deb11u1
2023-05-03 09:17:43 status unpacked libncursesw6:amd64 6.2+20201114-2+deb11u1
2023-05-03 09:17:43 install pinentry-curses:amd64 <none> 1.1.0-4
2023-05-03 09:17:43 status half-installed pinentry-curses:amd64 1.1.0-4
2023-05-03 09:17:43 status unpacked pinentry-curses:amd64 1.1.0-4
2023-05-03 09:17:43 install gpg-agent:amd64 <none> 2.2.27-2+deb11u2
2023-05-03 09:17:43 status half-installed gpg-agent:amd64 2.2.27-2+deb11u2
2023-05-03 09:17:43 status unpacked gpg-agent:amd64 2.2.27-2+deb11u2
2023-05-03 09:17:43 install gpg-wks-client:amd64 <none> 2.2.27-2+deb11u2
2023-05-03 09:17:43 status half-installed gpg-wks-client:amd64 2.2.27-2+deb11u2
2023-05-03 09:17:43 status unpacked gpg-wks-client:amd64 2.2.27-2+deb11u2
